"organ","count_date","day","who_plated","who_counted","group","sex","mouse","dilution","CFUs","CFUs_whole"
"lung","""Feb 28 2023""","56","FL","FL","BCG-ID93+GLA-SE","male","1",3,13,590909.090909091
"lung","""Mar 22 24""","90","FL","FL","BCG-ID93+GLA-SE","male","1",3,12,545454.545454545
"lung","""Dec 28 2023""","14","FL","FL","BCG-ID93+GLA-SE","female","2",2,42,190909.090909091
"lung","""Feb 28 2023""","56","FL","FL","BCG-ID93+GLA-SE","female","2",2,24,109090.909090909
"lung","""Dec 28 2023""","14","FL","FL","BCG-ID93+GLA-SE","male","2",2,53,240909.090909091
"lung","""Feb 28 2023""","56","FL","FL","BCG-ID93+GLA-SE","male","2",3,21,954545.454545454
"lung","""Mar 22 24""","90","FL","FL","BCG-ID93+GLA-SE","male","2",3,3,136363.636363636
"lung","""Dec 28 2023""","14","FL","FL","BCG-ID93+GLA-SE","female","3",2,24,109090.909090909
"lung","""Feb 28 2023""","56","FL","FL","BCG-ID93+GLA-SE","female","3",2,83,377272.727272727
"lung","""Mar 22 24""","90","FL","FL","BCG-ID93+GLA-SE","female","3",3,2,90909.0909090909
"lung","""Dec 28 2023""","14","FL","FL","BCG-ID93+GLA-SE","male","3",2,42,190909.090909091
"lung","""Feb 28 2023""","56","FL","FL","BCG-ID93+GLA-SE","male","3",2,72,327272.727272727
"lung","""Dec 28 2023""","14","FL","FL","BCG-ID93+GLA-SE","female","4",2,78,354545.454545455
"lung","""Feb 28 2023""","56","FL","FL","BCG-ID93+GLA-SE","female","4",2,30,136363.636363636
"lung","""Mar 22 24""","90","FL","FL","BCG-ID93+GLA-SE","female","4",5,10,45454545.4545455
"lung","""Dec 28 2023""","14","FL","FL","BCG-ID93+GLA-SE","male","4",2,90,409090.909090909
"lung","""Feb 28 2023""","56","FL","FL","BCG-ID93+GLA-SE","male","4",3,6,272727.272727273
"lung","""Mar 22 24""","90","FL","FL","BCG-ID93+GLA-SE","male","4",3,8,363636.363636364
