"organ","count_date","day","who_plated","who_counted","group","sex","mouse","dilution","CFUs","CFUs_whole"
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","BCG-ID93+GLA-SE","F","1",1,61,18300
"spleen","""July 11 2023""","90","AH_FL","T. Dutt","BCG-ID93+GLA-SE","F","1",5,27,8.1e+07
"spleen","""April 6 2023""","14","AH_FA","Forrest","BCG-ID93+GLA-SE","M","1",2,1,3000
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","BCG-ID93+GLA-SE","M","1",2,13,39000
"spleen","""July 11 2023""","90","AH_FL","T. Dutt","BCG-ID93+GLA-SE","M","1",4,44,13200000
"spleen","""April 6 2023""","14","AH_FA","Forrest","BCG-ID93+GLA-SE","F","2",2,21,63000
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","BCG-ID93+GLA-SE","F","2",3,34,1020000
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","BCG-ID93+GLA-SE","M","2",1,35,10500
"spleen","""July 11 2023""","90","AH_FL","T. Dutt","BCG-ID93+GLA-SE","M","2",4,57,17100000
"spleen","""April 6 2023""","14","AH_FA","Forrest","BCG-ID93+GLA-SE","F","3",2,3,9000
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","BCG-ID93+GLA-SE","F","3",3,21,630000
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","BCG-ID93+GLA-SE","M","3",1,1,300
"spleen","""July 11 2023""","90","AH_FL","T. Dutt","BCG-ID93+GLA-SE","M","3",3,84,2520000
"spleen","""April 6 2023""","14","AH_FA","Forrest","BCG-ID93+GLA-SE","F","4",2,7,21000
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","BCG-ID93+GLA-SE","F","4",0,60,1800
"spleen","""July 11 2023""","56","AH_FL","A. Hitpas","BCG-ID93+GLA-SE","M","4",3,5,150000
"spleen","""July 11 2023""","90","AH_FL","T. Dutt","BCG-ID93+GLA-SE","M","4",4,25,7500000
