"organ","count_date","who_plated","who_counted","group","day","sex","mouse","dilution","CFUs","CFUs_whole"
"lung","""Dec 19 2023""","FA","FL","day0","0","male","1",0,164,164
"lung","""Dec 19 2023""","FA","FL","day0","0","male","2",0,151,151
