"organ","count_date","day","who_plated","who_counted","group","sex","mouse","dilution","CFUs","CFUs_whole"
"lung","""Feb 28 2023""","56","FL","FL","BCG-ID93+GLA-SE","male","2",3,21,1680000
"lung","""Mar 22 24""","90","FL","FL","BCG-ID93+GLA-SE","male","2",3,3,240000
"lung","""Dec 28 2023""","14","FL","FL","BCG-ID93+GLA-SE","female","3",2,24,192000
"lung","""Feb 28 2023""","56","FL","FL","BCG-ID93+GLA-SE","female","3",2,83,664000
"lung","""Mar 22 24""","90","FL","FL","BCG-ID93+GLA-SE","female","3",3,2,160000
"lung","""Dec 28 2023""","14","FL","FL","BCG-ID93+GLA-SE","male","3",2,42,336000
"lung","""Feb 28 2023""","56","FL","FL","BCG-ID93+GLA-SE","male","3",2,72,576000
"lung","""Dec 28 2023""","14","FL","FL","BCG-ID93+GLA-SE","female","4",2,78,624000
"lung","""Feb 28 2023""","56","FL","FL","BCG-ID93+GLA-SE","female","4",2,30,240000
"lung","""Mar 22 24""","90","FL","FL","BCG-ID93+GLA-SE","female","4",5,10,8e+07
"lung","""Dec 28 2023""","14","FL","FL","BCG-ID93+GLA-SE","male","4",2,90,720000
"lung","""Feb 28 2023""","56","FL","FL","BCG-ID93+GLA-SE","male","4",3,6,480000
"lung","""Mar 22 24""","90","FL","FL","BCG-ID93+GLA-SE","male","4",3,8,640000
